BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,Ts
38,2017,14,58,101.582,101.582,89.20267,30.75068,-1.73
38,2017,17,58,101.707,101.707,89.20175,30.65716,-1.73
38,2017,20,58,101.832,101.832,89.20062,30.56177,-1.73
38,2017,23,58,101.957,101.957,89.19939,30.44235,-1.73
38,2017,2,58,102.082,102.082,89.19820,30.30346,-1.73
38,2017,5,58,102.207,102.207,89.19671,30.19125,-1.73
38,2017,8,58,102.332,102.332,89.19499,30.05216,-1.73
38,2017,11,58,102.457,102.457,89.19305,29.88623,-1.73
38,2017,14,58,102.582,102.582,89.19073,29.74623,-1.73
38,2017,17,58,102.707,102.707,89.18840,29.62993,-1.73
38,2017,20,58,102.832,102.832,89.18513,29.50623,-1.73
38,2017,23,58,102.957,102.957,89.17980,29.30319,-1.73
38,2017,2,58,103.082,103.082,89.17385,29.03727,-1.72
38,2017,5,58,103.207,103.207,89.16844,28.79118,-1.72
38,2017,8,58,103.332,103.332,89.16283,28.49992,-1.72
38,2017,11,58,103.457,103.457,89.15613,28.06790,-1.72
38,2017,14,58,103.582,103.582,89.14979,27.48652,-1.72
38,2017,17,58,103.707,103.707,89.14393,26.92549,-1.72
38,2017,20,58,103.832,103.832,89.13660,26.35961,-1.71
38,2017,23,58,103.957,103.957,89.12728,25.70341,-1.71
38,2017,2,58,104.082,104.082,89.11788,25.04108,-1.71
38,2017,5,58,104.207,104.207,89.11049,24.49179,-1.71
38,2017,8,58,104.332,104.332,89.10339,24.01056,-1.72
38,2017,11,58,104.457,104.457,89.09559,23.49901,-1.72
38,2017,14,58,104.582,104.582,89.08832,23.03652,-1.72
38,2017,17,58,104.707,104.707,89.08156,22.72925,-1.72
38,2017,20,58,104.832,104.832,89.07395,22.46506,-1.72
38,2017,23,58,104.957,104.957,89.06478,22.11403,-1.72
38,2017,2,58,105.082,105.082,89.05545,21.76627,-1.72
38,2017,5,58,105.207,105.207,89.04464,21.50064,-1.73
38,2017,8,58,105.332,105.332,89.03200,21.21421,-1.73
38,2017,11,58,105.457,105.457,89.01786,20.82737,-1.73
38,2017,14,58,105.582,105.582,89.00442,20.41769,-1.73
38,2017,17,58,105.707,105.707,88.99219,20.06628,-1.74
38,2017,20,58,105.832,105.832,88.98109,19.72317,-1.74
38,2017,23,58,105.957,105.957,88.97083,19.32401,-1.74
38,2017,2,58,106.082,106.082,88.96122,18.88483,-1.73
38,2017,5,58,106.207,106.207,88.95276,18.51551,-1.71
38,2017,8,58,106.332,106.332,88.94491,18.21051,-1.71
38,2017,11,58,106.457,106.457,88.93724,17.92141,-1.70
38,2017,14,58,106.582,106.582,88.92994,17.63952,-1.70
38,2017,17,58,106.707,106.707,88.92403,17.42925,-1.70
38,2017,20,58,106.832,106.832,88.91880,17.28297,-1.71
38,2017,23,58,106.957,106.957,88.91436,17.14958,-1.70
38,2017,2,58,107.082,107.082,88.91109,17.05675,-1.70
38,2017,5,58,107.207,107.207,88.90934,17.01520,-1.70
38,2017,8,58,107.332,107.332,88.90814,17.00029,-1.70
38,2017,11,58,107.457,107.457,88.90724,16.95954,-1.70
38,2017,14,58,107.582,107.582,88.90586,16.84519,-1.69
38,2017,17,58,107.707,107.707,88.90449,16.75320,-1.69
38,2017,20,58,107.832,107.832,88.90266,16.65204,-1.69
38,2017,23,58,107.957,107.957,88.90063,16.48726,-1.69
38,2017,2,58,108.082,108.082,88.89833,16.23810,-1.69
38,2017,5,58,108.207,108.207,88.89497,15.92707,-1.69
38,2017,8,58,108.332,108.332,88.89129,15.62958,-1.69
38,2017,11,58,108.457,108.457,88.88717,15.30114,-1.69
38,2017,14,58,108.582,108.582,88.88326,14.90979,-1.69
38,2017,17,58,108.707,108.707,88.88027,14.53419,-1.69
38,2017,20,58,108.832,108.832,88.87734,14.21856,-1.69
38,2017,23,58,108.957,108.957,88.87391,13.87298,-1.69
38,2017,2,58,109.082,109.082,88.87124,13.46555,-1.69
38,2017,5,58,109.207,109.207,88.87013,13.09518,-1.70
38,2017,8,58,109.332,109.332,88.86973,12.81542,-1.69
38,2017,11,58,109.457,109.457,88.86905,12.56443,-1.69
38,2017,14,58,109.582,109.582,88.86782,12.29152,-1.69
38,2017,17,58,109.707,109.707,88.86638,12.04042,-1.69
38,2017,20,58,109.832,109.832,88.86393,11.81150,-1.69
38,2017,23,58,109.957,109.957,88.85930,11.64102,-1.69
38,2017,2,58,110.082,110.082,88.85485,11.56690,-1.69
38,2017,5,58,110.207,110.207,88.85087,11.61918,-1.69
38,2017,8,58,110.332,110.332,88.84606,11.70203,-1.69
38,2017,11,58,110.457,110.457,88.83949,11.76319,-1.69
38,2017,14,58,110.582,110.582,88.83088,11.75506,-1.69
38,2017,17,58,110.707,110.707,88.82197,11.73698,-1.69
38,2017,20,58,110.832,110.832,88.81273,11.77017,-1.69
38,2017,23,58,110.957,110.957,88.80250,11.81531,-1.69
38,2017,2,58,111.082,111.082,88.79217,11.83143,-1.69
38,2017,5,58,111.207,111.207,88.78200,11.81367,-1.69
38,2017,8,58,111.332,111.332,88.77229,11.75867,-1.69
38,2017,11,58,111.457,111.457,88.76230,11.66613,-1.69
38,2017,14,58,111.582,111.582,88.75228,11.51447,-1.69
38,2017,17,58,111.707,111.707,88.74288,11.34663,-1.69
38,2017,20,58,111.832,111.832,88.73384,11.21592,-1.69
38,2017,23,58,111.957,111.957,88.72502,11.12502,-1.69
38,2017,2,58,112.082,112.082,88.71645,11.04985,-1.69
38,2017,5,58,112.207,112.207,88.70801,10.98731,-1.69
38,2017,8,58,112.332,112.332,88.69888,10.94482,-1.69
38,2017,11,58,112.457,112.457,88.68877,10.90816,-1.69
38,2017,14,58,112.582,112.582,88.67804,10.86301,-1.69
38,2017,17,58,112.707,112.707,88.66617,10.78107,-1.69
38,2017,20,58,112.832,112.832,88.65322,10.66050,-1.70
38,2017,23,58,112.957,112.957,88.64051,10.47370,-1.70
38,2017,2,58,113.082,113.082,88.62963,10.22484,-1.70
38,2017,5,58,113.207,113.207,88.61922,9.95077,-1.70
38,2017,8,58,113.332,113.332,88.60813,9.68019,-1.69
38,2017,11,58,113.457,113.457,88.59694,9.43822,-1.69
38,2017,14,58,113.582,113.582,88.58695,9.26453,-1.69
38,2017,17,58,113.707,113.707,88.57674,9.12349,-1.69
38,2017,20,58,113.832,113.832,-9999.00000,-9999.00000,-1.69
38,2017,23,58,113.957,113.957,-9999.00000,-9999.00000,-1.69
38,2017,2,58,114.082,114.082,-9999.00000,-9999.00000,-1.69
38,2017,5,58,114.207,114.207,-9999.00000,-9999.00000,-1.69
38,2017,8,58,114.332,114.332,-9999.00000,-9999.00000,-1.69
